id,regulation_name,issuing_unit,category,regulation_level,publish_date,notice_number,url,page_type,link_status,domain,keyword_extraction_status,monitor_frequency,parse_status,last_check_time,content_hash,remarks
CDE-01,细胞治疗药品药学变更研究与评价技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2026年1月27日,2026年第13号,https://www.cde.org.cn/main/news/viewInfoCommon/d2095373f1f57506795743870ca09c98,HTML,已确认,细胞制备,待提取,每周,待解析,,,用户确认
CDE-02,免疫细胞治疗产品临床试验技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2021年2月9日,2021年第14号,https://www.cde.org.cn/main/news/viewInfoCommon/1936d1c9006ccce2251702221f063b1c,HTML,已确认,临床研究,待提取,每周,待解析,,,用户确认
CDE-03,免疫细胞治疗产品药学研究与评价技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2022年5月26日,2022年第30号,https://www.cde.org.cn/main/news/viewInfoCommon/0584963a84e01bb4d83022f559d22144,HTML,已确认,细胞制备,待提取,每周,待解析,,,用户确认
CDE-04,人源干细胞产品药学研究与评价技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2023年4月25日,2023年第33号,https://www.cde.org.cn/main/news/viewInfoCommon/1dfacaa7804aca84d648edb83b10c40b,HTML,已确认,细胞制备,待提取,每周,待解析,,,用户确认
CDE-05,基因转导与修饰系统药学研究与评价技术指导原则（征求意见稿）,CDE药审中心,CDE技术指导原则,技术指导原则（征求意见稿）,2020年9月30日,,https://www.cde.org.cn/main/news/viewInfoCommon/fb6eec0d50516fb00f2c0657c2e23a59,HTML,已确认,细胞制备,待提取,每周,待解析,,,用户确认
CDE-06,细胞治疗产品临床药理学研究技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2024年11月15日,,https://www.cde.org.cn/main/news/viewInfoCommon/6eda537828949a51a4a56e341423f7c3,HTML,已确认,临床研究,待提取,每周,待解析,,,用户确认
CDE-07,以临床价值为导向的抗肿瘤药物临床研发指导原则,CDE药审中心,CDE技术指导原则,技术指导原则,2021年11月15日,,https://www.cde.org.cn/main/news/viewInfoCommon/ef7bfde96c769308ad080bb7ab2f538e,HTML,已确认,临床研究,待提取,每周,待解析,,,用户确认
CDE-08,人源性干细胞及其衍生细胞治疗产品临床试验技术指导原则（试行）,CDE药审中心,CDE技术指导原则,技术指导原则,2023年6月21日,,https://www.cde.org.cn/main/news/viewInfoCommon/f82a0fee1e625a1a3834a93cee3836c7,HTML,已确认,临床研究,待提取,每周,待解析,,,用户确认
NHC-01,脐带血造血干细胞库技术规范（试行）,国家卫健委,卫健委规范,技术规范,2002年,,https://www.nhc.gov.cn/yzygj/c100068/200208/4b9dfefaee0847818ec420431f89d00d.shtml,HTML,已确认,细胞存储,已提取,每两周,已解析,2026/5/11 14:12,,用户确认新增
NHC-02,干细胞临床研究管理办法（试行）,国家卫健委,卫健委规范,部门规章,2015年8月,,https://www.nhc.gov.cn/qjjys/c100016/201508/cd1cb345d65d47dcadefb9c501ca5f2c.shtml,HTML,已确认,临床研究,已提取,每两周,已解析,2026/5/11 14:12,,用户确认
